"conv_id","dialogue","summary"
"b065262210783596c1fe79466b8f8985","","Customer: So neither my iPhone nor my Apple Watch are recording my steps/activity, and Health doesn’t recognise either source anymore for some reason. @AppleSupport My iPhone is on 11.1.2, and my watch is on 4.1. Agent: To start, can you tell us the software versions your iPhone and Apple Watch are running currently?"
"1e1d8fd4f95c984fb78687c9e946dc97","","Customer: it shows on the website it has 10 days replacement warranty, can u explain me what is it ? Agent: @264322 We've a 10days replacement policy if the item you received is damaged or defective."
"b5773077fa55c381260390472deff4c2","","Customer: @AskAmex Signed up for new card with Delta to book immediately book tix. Agent: Please call our New Accounts Team at 877-399-3086, for assistance."
"3574d6b4418cb546a90d1561bacd66a2","","Customer: @AmazonHelp @115821 Wow, expected 4 packages yesterday, but only 2 showed up. 50% failure rate-not impressed. @AmazonHelp @115821 Last month driver delivered box, sat in van for 10 min on phone, and drove off. Agent: We can see what options are available for the lost items, reach us by phone or chat here: https://t.co/hApLpMlfHN ^MG Have you received any updates via e-mail for the last two packages you were expecting?"
"f30d2bbc15e7ff32244761b38b67d160","","Customer: I havent been able to purchase a ticket since your insane revamp. Agent: @324537 Sorry to see this - I'll report to our Development team."
"20327b84e8b6c205b7ad7e56b2861c66","","Customer: @115802 @AirAsiaSupport doesn’t seem like a customer’s time/money is of value to you! @AirAsiaSupport as a basic courtesy and for customer satisfaction u can take so little of efforts... remember a satisfied customer is a best marketing Agent: Flight Change is subject to Change Fee (per person/per flight) at https://t.co/jNMqRBUZdx plus &gt;&gt;"
"78dcc694d8c4a59a870ef61b746994f7","","Customer: I don't know what @Tesco have done to their website, but it's crawling and crashing on my machine with 16 cores and 24 GB RAM. @Tesco So the problem appears to be that Firefox is running at 100% CPU for the @Tesco website tab. Agent: @357759 Hi Iain, I would like to log your feedback for our IT team, could you please DM your full name, address and postcode?"
"6fc68bfd953819cf6ec1329b4e6831ac","","Customer: @USCellularCares when is thrtr going to be an android update last one was April? @USCellularCares Yes but why is it still on April when there is a September from samsung Agent: @213129 The current android version for the Galaxy S7 is 7.0.0 and the base band version is G930R4TYU4BQE1. @213129 I have contacted Samsung and the current version is the most recent available for this phone at this time. @213129 Bob, once Samsung shares the updates with us, we will then share them with customers."
"01a14bf0dff4f25a0ee571acf08d779e","","Customer: My question is I want to buy on Amazon a game for Xbox one for some1 without Xbox live. @XboxSupport Like can I purchase/use a digital Xbox one game off Amazon without Xbox live membership. If I buy a digital code of Forza horizon 3 from Amazon do I need Xbox live membership to install &amp; keep game Agent: Some game titles do require an active internet connection in order to install updates, however, if they put 1/2 ^JA @170371 If you purchase a digital game, you would not need an Xbox Live Gold subscription to keep it: https://t.co/7It5WcIV3z  ^EZ"
"d63f8327d930c484d1a1e5b2c919315c","","Customer: @AmazonHelp ok, I need to change the shipping address on some shipments, I just realized they're going to the wrong place. Agent: @183043 If the order hasn't entered the shipping process then you can edit the addresshttps://t.co/cQ5AQodpK3 ^KM @183043 Please allow the seller a bit longer to respond."
"08faf4ed9a4ba7d62725d72ddd974674","","Customer: Bought these biscuits a couple of weeks ago, only just opened and looked at the best before date... @49975 Agent: If there is, could you take a pic and DM it to us please &amp; also  let us know how much they cost? @393926 Once we have those, we'll explain what happens next."
"e4e792473968e59f462a339f279772c4","","Customer: @116245 how do I make a complaint? Agent: @126239 Could you please DM us with more information with regards to your complaint."
"36686816af9b1c053d72b68acc2311a6","","Customer: @SW_Help morning - when's the next train at Fulwell? @SW_Help ...and the info sign showing no information? Agent: @451959 The delayed 06:23 should be with you at 06:41 and will be running fast from Teddington to Waterloo ^JM @451959 Thanks for the info Rhys, we'll report this fault."
"58e3bd95a270418d9fd823c4771f8641","","Customer: @AskeBay My sisters account has been locked as it has been linked to an account with a negative balance though this is not possible!! @AskeBay She don’t have twitter and your call centers have been ABSOLUTELY useless Agent: Have your sister call in or reach out to us here or on Facebook. @124579 Calling in will be the fastest way to resolve any issues or if she has a Facebook acct she can reach out to us there."
"51423ed0d89ade7daac40961d054f3ee","","Customer: @AmericanAir cancelled flight last night and now delayed flight tonight in CLT. @AmericanAir So as I learned the original crew got into a fight with the cleaning crew. This, ur crew delayed a whole flight over an issue that likely wasn’t an issue. Agent: @158161 We see that you're now boarding with an estimated departure of 9:10p."
"3485760e07a49771e073f91242ca17ea","","Customer: @115850 Amazon pantry order was late by 7 days so i cancelled it, but i m still being asked 2 wait 4 refund. Agent: Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you."
"7d4115d8a17e573a03addd3903a4467d","","Customer: @115850 purchased prime membership by adding gift card to pay balance . Will i eligible for rs. 250 cashback. 250 cashback. Agent: @425293 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this."
"b50df8ee981a32af08b95b935a85e7b1","","Customer: @Tesco absolutely appalled by the fact that Tesco don’t believe that 90% girls shoes and 10% boys is not sexism! @Tesco So you’re saying girls needed a choice of over 10 boots &amp; 8 trainers and 10 shoes boys only need one pair of boots and no shoes or trainers? Agent: We manage stock to each store to ensure we are giving a balanced offer."
"e7246842b6e3b27eaf5a3e9675a3d8f4","","Customer: Dear @115714, your website is very jacked at the moment. Keep getting error messages and the site keeps asking me to log back in/pages crashing. Agent: What seems to be the issue?"
"3f775aa4af209aeb2dd831581df6085f","","Customer: @British_Airways how long is it before you contact someone who's  taken my bag by mistake. Agent: If we delivered your bag to the carousel and someone else picked it up we're not responsible for contacting them on your behalf. However, if there's been a bag left behind we'll do all we can to get in touch with that customer for them to retrieve it. You could contact the police and report your bag as stolen, or file a lost bag claim with your travel insurance company."
"85a21f70bdfbab50e06bbb7c9382a5f0","","Customer: @AmazonHelp Money was taken from my debit card for services I’ve never even used or received and now my money was put on another card? Agent: We'd like another chance to look into it with you via phone: https://t.co/hApLpMlfHN ^WJ"
"18fde5ce603781032fbb6321c244492b","","Customer: Can you see my question with the title ""How to configure VPN Gateway in my virtual net of"" ? Agent: We have flagged these details with our team and someone will be in touch through the forum."
"ceb319ebaf53237f3c62e2ddc394a1f6","","Customer: Really wish @marksandspencer had more vegetarian options in their meal deals. Agent: @435421 We're limited by stock availability as to what we include in our promotions, but our team are looking into this."
"1afb2f6d4668d5b1c70e531840c1633d","","Customer: @AppleSupport @115858 You’re gonna make everybody hard reset their phone because of your flawed update? And they had me reset my overall settings, hoping it would fix the keyboard. Agent: Meet us over in DM with more details, and we’ll work there."
"ffd29b593b54262ff9638919b972feff","","Customer: @sainsburys bought a celcus tv from your Finchley store last year in December and it stopped working yesterday - can you repair it or change @sainsburys Actually, I just checked my bank statements and I bought the tv in January 2017 and not dec 2016 and paid for it by card - £175 Agent: @454496 Can you confirm did you pay cash or card for the telvision? @454496 We would use the bank statements transaction ID to match our till receipts."
